Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,List of Employees Laid Off,Ticker,Exchange,Stock Delisted
Vacasa,TRUE,Portland,Travel,800,5/9/2024,https://skift.com/2024/05/09/vacasa-told-employees-about-layoffs-restructuring-and-leadership-changes/,834,Post-IPO,United States,0.13,,VCSA,NASDAQ,FALSE
PrepLadder,FALSE,New Delhi,Education,145,5/8/2024,https://inc42.com/buzz/unacademys-prepladder-lays-off-145-employees-in-sales-strategy-rejig/,,Acquired,India,0.25,,,,
Simpl,FALSE,Bengaluru,Finance,100,5/8/2024,https://www.moneycontrol.com/technology/bnpl-startup-simpl-lays-off-at-least-100-employees-as-part-of-cost-cutting-measures-article-12717158.html?classic=True,72,Series B,India,0.15,,,,
Arkane Studios,TRUE,Austin,Consumer,96,5/8/2024,https://www.bizjournals.com/austin/news/2024/05/08/austin-gaming-studio-shuts-down.html,,Unknown,United States,1,,,,
Brilliant,TRUE,SF Bay Area,Hardware,,5/8/2024,https://www.theverge.com/2024/5/8/24150346/brilliant-smart-home-lighting-out-of-business,64,Series B,United States,1,,,,
Hopin,FALSE,London,Other,,5/7/2024,https://hopin-talent-list.notion.site/90e1b6afe89e4264866ab04db1c3d76b?v=ab2de1190547432bb2ac6d0599aa0d60,1000,Series D,United Kingdom,,https://hopin-talent-list.notion.site/90e1b6afe89e4264866ab04db1c3d76b?v=ab2de1190547432bb2ac6d0599aa0d60,,,
Enovix,TRUE,SF Bay Area,Energy,170,5/6/2024,https://www.theinformation.com/articles/battery-developer-enovix-lays-off-roughly-one-third-of-staff,516,Post-IPO,United States,0.33,,ENVX,NASDAQ,FALSE
Cue Health,TRUE,San Diego,Healthcare,230,5/3/2024,https://www.beckershospitalreview.com/digital-health/health-tech-company-lays-off-49-of-workforce.html,899,Post-IPO,United States,0.49,,HLTH,NASDAQ,FALSE
Rivian,TRUE,Los Angeles,Transportation,150,5/3/2024,https://abc7.com/rivian-jobs-irvine-careers-electric-vehicle/14761190/,10700,Post-IPO,United States,,,RIVN,NASDAQ,FALSE
Luminar,TRUE,Orlando,Transportation,140,5/3/2024,https://techcrunch.com/2024/05/03/luminar-layoffs-reduction-restructuring-lidar/,780,Post-IPO,United States,0.2,,LAZR,NASDAQ,FALSE
Sprinklr,TRUE,New York City,Support,116,5/3/2024,https://techcrunch.com/2024/05/03/sprinklr-lays-off-more-than-100-employees/,429,Post-IPO,United States,0.03,,CXM,NYSE,FALSE
Bakkt,TRUE,Atlanta,Crypto,28,5/3/2024,https://seekingalpha.com/news/4099966-crypto-platform-bakkt-to-lay-off-28-employees,932,Post-IPO,United States,,,BKKT,NYSE,FALSE
Peloton,TRUE,New York City,Fitness,400,5/2/2024,https://www.cnbc.com/2024/05/02/peloton-ceo-barry-mccarthy-steps-down-15percent-of-staff-laid-off.html,1900,Post-IPO,United States,0.15,,PTON,NASDAQ,FALSE
Cabify,FALSE,Madrid,Transportation,29,5/2/2024,https://www.epe.es/es/activos/20240502/cabify-ejecuta-veintena-despidos-staff-101773083,601,Unknown,Spain,,,,,
Google,TRUE,SF Bay Area,Consumer,200,5/1/2024,https://www.cnbc.com/2024/05/01/google-cuts-hundreds-of-core-workers-moves-jobs-to-india-mexico.html,26,Post-IPO,United States,,,GOOG,NASDAQ,FALSE
Assurance,TRUE,Seattle,Finance,112,5/1/2024,https://www.geekwire.com/2024/prudential-to-shut-down-assurance-the-insurance-tech-startup-it-acquired-for-2-35b-in-2019/,,Acquired,United States,1,,,,
Sproutt,TRUE,Hartford,Finance,,5/1/2024,https://www.calcalistech.com/ctechnews/article/rzw567hs7,38,Series B,United States,1,,,,
Tesla,TRUE,Austin,Transportation,500,4/30/2024,https://www.theverge.com/2024/4/30/24145621/tesla-layoff-supercharger-ev-charging-nacs-elon-musk,20200,Post-IPO,United States,,,TSLA,NASDAQ,FALSE
Akili,TRUE,Boston,Healthcare,,4/30/2024,https://investors.akiliinteractive.com/news/news-details/2024/Akili-Announces-Amended-Agreement-with-Shionogi-Shift-in-Corporate-Strategy-and-Release-Date-for-First-Quarter-2024-Financial-Results/default.aspx,271,Post-IPO,United States,0.46,,AKLI,NASDAQ,FALSE
Google,TRUE,SF Bay Area,Consumer,,4/30/2024,https://techcrunch.com/2024/04/29/google-lays-off-staff-from-flutter-dart-python-weeks-before-its-developer-conference/,26,Post-IPO,United States,,,GOOG,NASDAQ,FALSE
Getir,FALSE,London,Food,3300,4/29/2024,https://techcrunch.com/2024/04/29/getir-getout-instant-delivery/,1800,Series E,United Kingdom,,,,,
Ola,FALSE,Bengaluru,Transportation,180,4/29/2024,https://techcrunch.com/2024/04/29/indian-ride-hailing-giant-ola-cuts-180-jobs-in-profitability-push/,5000,Series J,India,0.1,,,,
ComplYant,TRUE,Los Angeles,Finance,,4/29/2024,https://www.businessinsider.com/tax-compliance-startup-raised-millions-then-it-abruptly-shut-down-2024-4,6,Seed,United States,1,,,,
Fisker,TRUE,Los Angeles,Transportation,,4/29/2024,https://techcrunch.com/2024/04/29/fisker-layoffs-staff-email-cuts-bankruptcy-sale/,1700,Post-IPO,United States,,,FSRN,OTCMKTS,FALSE
HealthifyMe,FALSE,Bengaluru,Healthcare,150,4/27/2024,https://inc42.com/buzz/healthify-fires-150-employees-in-a-restructuring-exercise/,130,Series D,India,0.27,,,,
True Anomaly,TRUE,Denver,Aerospace,30,4/25/2024,https://techcrunch.com/2024/04/25/defense-space-startup-True-anomaly-layoffs-cancels-internship/,158,Series B,United States,0.25,,,,
Grin,TRUE,Sacramento,Marketing,,4/25/2024,https://www.businessinsider.com/influencer-marketing-firm-grin-lays-off-staffers-2024-4,145,Series B,United States,,,,,
Expedia,TRUE,Austin,Travel,,4/24/2024,https://www.bizjournals.com/austin/news/2024/04/24/expedia-layoffs-austin-employees.html,3300,Post-IPO,United States,,,EXPE,NASDAQ,FALSE
Freenome,TRUE,SF Bay Area,Healthcare,100,4/23/2024,https://www.sfchronicle.com/bayarea/article/tech-layoffs-freenome-19421173.php,1400,Series E,United States,0.2,,,,
Heureka Group,FALSE,Prague,Retail,100,4/23/2024,https://cc.cz/heureka-hromadne-propustila-stovku-lidi-jsme-zasazeni-tlakem-na-efektivitu-uvedla/,,Acquired,Czech Republic,0.16,,,,
98point6,TRUE,Seattle,Healthcare,,4/23/2024,https://www.geekwire.com/2024/98point6-hit-by-new-layoffs-in-latest-change-at-health-tech-startup/,299,Acquired,United States,,,,,
OutSystems,TRUE,Boston,Product,150,4/19/2024,https://observador.pt/2024/04/19/unicornio-outsystems-faz-reducao-de-8-no-total-de-trabalhadores/,802,Series G,United States,0.08,,,,
Homie,TRUE,Salt Lake City,Real Estate,,4/19/2024,https://www.sltrib.com/news/business/2024/04/19/homie-utah-company-meant-disrupt/,35,Series B,United States,,,,,
The Good Glamm Group,FALSE,New Delhi,Retail,150,4/18/2024,https://economictimes.indiatimes.com/tech/technology/content-to-commerce-platform-the-good-glamm-group-lays-off-150-employees/articleshow/109401639.cms,180,Unknown,India,0.15,,,,
Showpad,FALSE,Ghent,Marketing,50,4/18/2024,https://www.tijd.be/ondernemen/technologie/techbedrijf-showpad-slaat-met-nieuwe-ontslagronde-pad-naar-winst-in-we-willen-overnames-doen/10540237.html,159,Series D,Belgium,0.1,,,,
Stability AI,FALSE,London,AI,20,4/18/2024,https://www.cnbc.com/2024/04/18/ai-startup-stability-lays-off-10percent-of-employees-after-ceo-exit.html,174,Unknown,United Kingdom,,,,,
Pax8,TRUE,Denver,Infrastructure,,4/18/2024,https://www.crn.com/news/channel-news/2024/pax8-cuts-about-five-percent-of-workforce-parting-with-valued-teammates-is-never-easy,400,Unknown,United States,0.05,,,,
ConnectWise,TRUE,Tampa Bay,Other,,4/17/2024,https://www.crn.com/news/channel-news/2024/connectwise-lays-off-less-than-100-staffers-to-improve-operations?itc=refresh,1,Acquired,United States,,,,,
Google,TRUE,SF Bay Area,Consumer,,4/17/2024,https://www.reuters.com/technology/google-lays-off-employees-shifts-some-roles-abroad-amid-cost-cuts-2024-04-17/,26,Post-IPO,United States,,,GOOG,NASDAQ,FALSE
Rivian,TRUE,Detroit,Transportation,,4/17/2024,https://www.reuters.com/business/autos-transportation/rivian-cuts-1-workforce-second-job-cut-this-year-2024-04-17/,10700,Post-IPO,United States,0.01,,RIVN,NASDAQ,FALSE
Take-Two Interactive,TRUE,New York City,Consumer,579,4/16/2024,https://www.ign.com/articles/take-two-announces-layoffs-while-canceling-multiple-in-development-projects,4100,Post-IPO,United States,0.05,,TTWO,NASDAQ,FALSE
Tome,TRUE,SF Bay Area,AI,12,4/16/2024,https://www.semafor.com/article/04/16/2024/ai-startup-tome-lays-off-staff-to-focus-on-revenue,75,Series B,United States,0.25,,,,
Tesla,TRUE,Austin,Transportation,14000,4/15/2024,https://www.nytimes.com/2024/04/15/business/tesla-layoff-elon-musk.html,20200,Post-IPO,United States,0.1,https://docs.google.com/spreadsheets/d/1UCxvLdJq9jldv_yOQTW-KLrjzp_zoMFrKJs5YIMRxcQ/edit#gid=0,TSLA,NASDAQ,FALSE
Criteo,FALSE,Paris,Marketing,140,4/12/2024,https://www.businessinsider.com/criteo-layoffs-global-staff-job-reductions-2024-4,61,Post-IPO,France,0.04,,CRTO,NASDAQ,FALSE
Glovo,FALSE,Barcelona,Food,25,4/12/2024,https://beteve.cat/economia/glovo-acomiada-25-treballadors-oficines-barcelona/,1200,Acquired,Spain,,,,,
TikTok,FALSE,Dublin,Consumer,250,4/11/2024,https://www.thejournal.ie/tiktok-to-cut-around-300-jobs-6352003-Apr2024/,,Acquired,Ireland,,,,,
Fabric,TRUE,New York City,Logistics,30,4/11/2024,https://www.calcalistech.com/ctechnews/article/hyfcqfhlr,336,Series C,United States,0.15,,,,
Hinge Health,TRUE,SF Bay Area,Healthcare,,4/11/2024,https://techcrunch.com/2024/04/11/virtual-physical-therapist-hinge-health-lays-off-10-of-its-workforce/,826,Series E,United States,0.1,,,,
Zoe,FALSE,London,Healthcare,,4/11/2024,https://sifted.eu/articles/zoe-healthtech-cost-cutting-news,89,Series B,United Kingdom,0.2,,,,
Cornershop,FALSE,Santiago,Food,200,4/10/2024,https://dfmas.df.cl/df-mas/coffee-break/uber-chile-despide-a-200-personas,32,Acquired,Chile,,,,,
Scaler,FALSE,Bengaluru,Education,150,4/10/2024,https://entrackr.com/2024/04/tech-upskilling-startup-scaler-lays-off-150-employees/,55,Series B,India,,,,,
Checkr,TRUE,SF Bay Area,HR,382,4/9/2024,Internal memo,679,Series D,United States,0.32,,,,
Intel,TRUE,SF Bay Area,Hardware,62,4/9/2024,https://www.crn.com/news/components-peripherals/2024/intel-layoffs-impact-62-jobs-at-california-hq,12,Post-IPO,United States,,,INTC,NASDAQ,FALSE
Trendsales,FALSE,Copenhagen,Retail,79,4/8/2024,https://aimgroup.com/2024/04/08/vinted-reportedly-lays-off-all-trendsales-employees-after-takeover/,,Acquired,Denmark,1,,,,
Singularity 6,TRUE,Los Angeles,Other,49,4/8/2024,https://www.gamesindustry.biz/singularity-6-reduces-workforce-by-35,49,Series B,United States,0.35,https://docs.google.com/spreadsheets/d/1hSIdc2ABP04wfDION-6mIHvZL1Y2jPG2lg_KePrzhEc/edit#gid=0,,,
Fission,FALSE,Vancouver,Other,,4/7/2024,https://fission.codes/blog/farewell-from-fission/,,Unknown,Canada,1,,,,
Bolt.Earth,FALSE,Bengaluru,Energy,70,4/6/2024,https://inc42.com/buzz/bolt-earth-fires-employees-in-another-restructuring-exercise-shuts-two-business-verticals/,24,Series B,India,0.4,,,,
Apple,TRUE,SF Bay Area,Hardware,614,4/4/2024,https://www.bloomberg.com/news/articles/2024-04-04/apple-cut-at-least-600-workers-when-car-screen-projects-stopped?embedded-checkout=True,1200,Post-IPO,United States,,,AAPL,NASDAQ,FALSE
Agility Robotics,TRUE,Portland,Other,,4/4/2024,https://techcrunch.com/2024/04/04/agility-robotics-lays-off-some-staff-amid-commercialization-focus/,179,Series B,United States,,,,,
Lightspeed Commerce,FALSE,Montreal,Retail,280,4/3/2024,https://www.bnnbloomberg.ca/lightspeed-commerce-cutting-280-jobs-as-it-focuses-on-profitable-growth-1.2054620,1200,Post-IPO,Canada,,,LSPD,NYSE,FALSE
Ghost Autonomy,TRUE,SF Bay Area,Transportation,100,4/3/2024,https://www.sfgate.com/tech/article/ghost-autonomy-shutdown-tech-layoff-19385702.php,247,Series E,United States,1,,,,
Vivian Health,TRUE,SF Bay Area,Healthcare,13,4/3/2024,Internal memo,60,Acquired,United States,,https://docs.google.com/spreadsheets/d/1H9FKlAxhkw_Dk1vh-RsknJz8rXTaLDz8-O4YSjXyg9s/edit#gid=765377218,,,
Amazon,TRUE,Seattle,Retail,,4/3/2024,https://www.geekwire.com/2024/amazon-web-services-cuts-hundreds-of-jobs-in-sales-training-and-physical-stores-technology/,108,Post-IPO,United States,,,AMZN,NASDAQ,FALSE
CoRover,FALSE,Bengaluru,AI,,4/3/2024,https://inc42.com/buzz/corover-ai-to-shut-down-its-us-uk-subsidiaries-to-focus-on-the-india-market/,,Unknown,India,,,,,
Kaseya,TRUE,Miami,Security,,4/3/2024,https://www.bizjournals.com/southflorida/news/2024/04/03/kaseya-miami-job-staff-cuts.html,547,Unknown,United States,,,,,
New Relic,TRUE,SF Bay Area,Infrastructure,,4/3/2024,https://www.bizjournals.com/portland/news/2024/04/03/layoffs-reported-at-new-relic.html,214,Acquired,United States,,,,,
Yummly,TRUE,SF Bay Area,Food,,4/3/2024,https://thespoon.tech/whirlpool-lays-off-entire-team-for-cooking-and-recipe-app-yummly/,24,Acquired,United States,1,,,,
Byju's,FALSE,Bengaluru,Education,500,4/2/2024,https://www.business-standard.com/companies/news/byju-s-lays-off-500-employees-terminates-employment-over-phone-calls-124040201104_1.html,5500,Private Equity,India,0.03,,,,
Lentra,FALSE,Pune,Finance,,4/2/2024,https://inc42.com/buzz/fintech-saas-startup-lentra-lays-off-employees-to-optimise-operations/,104,Series B,India,,,,,
Thepeer,FALSE,Lagos,Finance,,4/2/2024,https://techpoint.africa/2024/04/01/nigerian-startup-thepeer-to-shut-down/,2,Seed,Nigeria,1,,,,
Osso VR,TRUE,SF Bay Area,Healthcare,67,4/1/2024,https://www.medtechdive.com/news/osso-vr-lay-off-67-people-san-francisco/711814/,109,Series C,United States,,,,,
Identiq,FALSE,Tel Aviv,Security,20,4/1/2024,https://www.calcalistech.com/ctechnews/article/bjfyzloya,52,Series A,Israel,0.44,,,,
Ranger Insurance,TRUE,New York City,Finance,,4/1/2024,https://www.linkedin.com/feed/update/urn:li:activity:7180607619240243201/,5,Seed,United States,1,,,,
Rezi,TRUE,New York City,Real Estate,,4/1/2024,https://therealdeal.com/national/2024/04/01/rental-platform-rezi-runs-out-of-money-shuts-down/,230,Series B,United States,1,,,,
ChowNow,TRUE,Los Angeles,Food,60,3/28/2024,https://techcrunch.com/2024/03/28/chownow-acquires-yc-backed-point-of-sale-platform-cuboh-and-is-laying-off-staff/,64,Series C,United States,0.2,,,,
Synctera,TRUE,SF Bay Area,Finance,17,3/26/2024,https://techcrunch.com/2024/03/26/baas-startup-synctera-layoffs-fintech/,79,Series A,United States,0.15,,,,
GoPro,TRUE,SF Bay Area,Consumer,,3/26/2024,https://www.wsj.com/business/earnings/gopro-to-cut-total-workforce-by-4-reduce-office-space-208f369a?,288,Post-IPO,United States,0.04,,GPRO,NASDAQ,FALSE
Dell,TRUE,Austin,Hardware,6000,3/25/2024,https://siliconangle.com/2024/03/25/dell-reduces-global-workforce-around-6000-jobs/,,Post-IPO,United States,0.05,,DELL,NYSE,FALSE
Verily,TRUE,SF Bay Area,Healthcare,,3/22/2024,https://www.businessinsider.com/alphabets-verily-layoffs-google-employees-molecular-science-immune-profiler-r2024-3,3500,Subsidiary,United States,,,,,
Cybereason,TRUE,Boston,Security,,3/20/2024,https://www.calcalistech.com/ctechnews/article/bkrfcv00ra,750,Series F,United States,,,,,
ShopBack,FALSE,Singapore,Retail,195,3/19/2024,https://www.bloomberg.com/news/articles/2024-03-19/temasek-backed-shopback-cuts-24-of-jobs-in-pay-later-defeat?embedded-checkout=True,355,Series F,Singapore,0.24,,,,
Orbotech,FALSE,Yavne,Manufacturing,100,3/19/2024,https://www.calcalistech.com/ctechnews/article/hy20lqwrt,,Acquired,Israel,,,,,
Airmeet,FALSE,Bengaluru,Marketing,,3/19/2024,https://inc42.com/buzz/airmeet-lays-off-20-workforce-in-second-restructuring-exercise-within-a-year/,50,Series B,India,0.2,,,,
Singular Genomics,TRUE,San Diego,Healthcare,,3/19/2024,https://www.genomeweb.com/business-news/singular-genomics-lay-20-percent-workforce-q4-revenues-41-percent,176,Post-IPO,United States,0.2,,OMIC,NASDAQ,FALSE
Longi,FALSE,Xi'an,Energy,,3/18/2024,https://www.nasdaq.com/articles/chinas-longi-says-it-will-lay-off-about-5-of-employees,,Unknown,China,0.05,,,,
Flock Freight,TRUE,San Diego,Logistics,54,3/16/2024,https://www.freightwaves.com/news/flock-reports-layoffs-path-to-profitability,399,Series D,United States,,,,,
Chipper Cash,TRUE,SF Bay Area,Finance,20,3/15/2024,https://www.theinformation.com/briefings/payments-startup-chipper-cuts-jobs-in-seventh-round-of-layoffs,302,Series C,United States,,,,,
Blueboard,TRUE,SF Bay Area,HR,,3/15/2024,https://www.kqed.org/news/11979696/popular-employee-rewards-company-blueboard-shutters-abruptly,16,Series A,United States,1,,,,
Ancestry,TRUE,Lehi,Consumer,81,3/14/2024,https://endpts.com/ancestry-cut-6-of-workforce-as-genealogy-giant-struggles-with-subscription-revenue/,33,Private Equity,United States,0.06,,,,
Textio,TRUE,Seattle,Recruiting,14,3/14/2024,https://www.geekwire.com/2024/augmented-writing-startup-textio-lays-off-14-employees-or-16-of-staff/,42,Unknown,United States,0.16,,,,
Stash,TRUE,New York City,Finance,80,3/13/2024,https://www.axios.com/pro/fintech-deals/2024/03/13/stash-lays-off-25-percent,480,Unknown,United States,0.25,,,,
Phantom Auto,TRUE,SF Bay Area,Transportation,100,3/12/2024,https://techcrunch.com/2024/03/12/remote-driving-startup-phantom-auto-is-shutting-down/,86,Unknown,United States,1,,,,
IBM,TRUE,New York City,Hardware,,3/12/2024,https://www.cnbc.com/2024/03/12/ibm-tells-employees-of-job-cuts-in-marketing-and-communications.html,,Post-IPO,United States,,,IBM,NYSE,FALSE
Deadspin,TRUE,New York City,Media,11,3/11/2024,https://variety.com/2024/digital/news/deadspin-staff-laid-off-site-sold-1235938325/,,Acquired,United States,1,,,,
Niche,TRUE,Pittsburgh,Education,24,3/8/2024,https://technical.ly/professional-development/niche-layoffs-pittsburgh-edtech/,44,Series C,United States,0.07,,,,
Inscribe,TRUE,SF Bay Area,Finance,,3/8/2024,https://techcrunch.com/2024/03/08/ai-fraud-detection-software-maker-inscribe-ai-lays-off-40-of-staff/,39,Series B,United States,0.4,,,,
Turnitin,TRUE,SF Bay Area,Education,15,3/7/2024,https://techcrunch.com/2024/03/07/turnitin-laid-off-staff-earlier-this-year-after-ceo-forecast-ai-would-allow-it-to-cut-headcount/,,Acquired,United States,0.02,,,,
Totango,TRUE,SF Bay Area,Support,,3/7/2024,https://www.calcalistech.com/ctechnews/article/rkbpxedat,147,Acquired,United States,,,,,
Sorare,TRUE,New York City,Crypto,22,3/6/2024,https://techcrunch.com/2024/03/06/nft-fantasy-sports-startup-sorare-layoffs-web3-gaming/,739,Series B,United States,0.13,,,,
Meta,TRUE,SF Bay Area,Consumer,,3/6/2024,https://www.businessinsider.com/meta-facebook-messenger-hit-with-layoffs-2024-3?IR=T,26000,Post-IPO,United States,,,META,NASDAQ,FALSE
PlanetScale,TRUE,SF Bay Area,Data,,3/6/2024,https://planetscale.com/blog/planetscale-forever,105,Series C,United States,,,,,
MessageBird,FALSE,Amsterdam,Other,90,3/5/2024,https://www.amsterdamai.com/en/nieuws/529e0e27-44d0-0505-2af2-f473d807ab03/Bird-ontslaat-werknemers-wegens-AI-effici%C3%ABntie,1100,Series C,Netherlands,0.2,,,,
Form Energy,TRUE,Boston,Energy,,3/5/2024,https://www.bizjournals.com/boston/news/2024/03/05/form-energy-layoffs-company-agile.html,966,Unknown,United States,,,,,
Verbit,TRUE,New York City,Data,,3/5/2024,https://www.calcalistech.com/ctechnews/article/hjfc9uvp6,569,Series E,United States,,,,,
Edgio,TRUE,Phoenix,Infrastructure,80,3/4/2024,https://investors.edg.io/node/13996/html,462,Post-IPO,United States,0.1,,EGIO,NASDAQ,FALSE
Melio,TRUE,New York City,Finance,40,3/4/2024,https://www.calcalistech.com/ctechnews/article/r1sremqtt,504,Series D,United States,0.07,,,,
Our Next Energy,TRUE,Detroit,Transportation,40,3/4/2024,https://www.bloomberg.com/news/articles/2024-03-04/michigan-battery-startup-one-cuts-jobs-as-ceo-seeks-fresh-funds?embedded-checkout=True,390,Series B,United States,0.13,,,,
Project Ronin,TRUE,SF Bay Area,Healthcare,150,3/1/2024,https://www.bloomberg.com/news/articles/2024-03-01/larry-ellison-s-cancer-software-startup-project-ronin-is-closing,,Unknown,United States,1,,,,
Pristyn Care,FALSE,Gurugram,Healthcare,120,3/1/2024,https://entrackr.com/2024/03/pristyn-care-lays-off-around-120-employees-as-it-targets-profitability-and-ipo/,177,Series E,India,0.07,,,,
Gro Intelligence,TRUE,New York City,Food,90,3/1/2024,https://www.wsj.com/business/climate-data-startup-with-all-star-investors-and-roots-in-africa-nearly-collapses-3f675357?mod=e2li,118,Series B,United States,0.6,,,,
Tonik,FALSE,Singapore,Finance,,3/1/2024,https://www.techinasia.com/tonik-lays-employees-reaching-unit-profitability,175,Series B,Singapore,,,,,
Fisker,TRUE,Los Angeles,Transportation,,2/29/2024,https://techcrunch.com/2024/02/29/fisker-layoffs-cash-going-concern-dealerships/,1700,Post-IPO,United States,0.15,,FSRN,OTCMKTS,FALSE
Kevin,FALSE,Vilnius,Finance,,2/29/2024,https://sifted.eu/articles/kevin-salaries,79,Series A,Lithuania,0.14,,,,
Electronic Arts,TRUE,SF Bay Area,Consumer,670,2/28/2024,https://www.cnbc.com/2024/02/28/ea-layoffs-company-to-cut-5percent-of-workforce-or-about-670-employees.html,2,Post-IPO,United States,0.05,,EA,NASDAQ,FALSE
Vacasa,TRUE,Portland,Travel,320,2/28/2024,https://www.oregonlive.com/business/2024/02/portland-based-vacasa-will-lay-off-another-320-new-year-is-off-to-a-difficult-start.html,834,Post-IPO,United States,0.05,,VCSA,NASDAQ,FALSE
Treasury Prime,TRUE,SF Bay Area,Finance,40,2/28/2024,https://www.bankingdive.com/news/treasury-prime-lay-off-40-50-employees-marketing-liaison-direct-fintech-partner-chris-dean/708770/,71,Series C,United States,0.4,,,,
Motional,TRUE,Boston,Transportation,,2/28/2024,https://techcrunch.com/2024/02/28/hyundai-backed-autonomous-company-motional-cuts-5-of-workforce/,,Unknown,United States,0.05,,,,
Sony Interactive,TRUE,SF Bay Area,Consumer,900,2/27/2024,https://www.theverge.com/2024/2/27/24084494/sony-playstation-layoffs-2024,,Subsidiary,United States,0.08,,,,
Bumble,TRUE,Austin,Consumer,350,2/27/2024,https://www.cnbc.com/2024/02/27/bumble-layoffs-350-employees-or-about-37percent-of-workforce.html,313,Post-IPO,United States,0.3,,BMBL,NASDAQ,FALSE
PropertyGuru,FALSE,Singapore,Real Estate,79,2/27/2024,https://www.theedgesingapore.com/news/company-news/propertyguru-cuts-79-jobs-amid-organisational-changes,676,Post-IPO,Singapore,,,PGRU,NYSE,FALSE
Apple,TRUE,SF Bay Area,Transportation,,2/27/2024,https://techcrunch.com/2024/02/27/apple-cancels-electric-car-project-titan/,1200,Post-IPO,United States,,,AAPL,NASDAQ,FALSE
Expedia,TRUE,Seattle,Travel,1500,2/26/2024,https://www.geekwire.com/2024/expedia-group-cutbacks-will-impact-1500-roles-this-year-more-than-8-of-workforce/,3300,Post-IPO,United States,0.08,,EXPE,NASDAQ,FALSE
WayCool,FALSE,Chennai,Food,70,2/26/2024,https://inc42.com/buzz/exclusive-waycool-fires-70-employees-in-second-restructuring-exercise-within-a-year/,363,Unknown,India,,,,,
Daraz,FALSE,Singapore,Retail,,2/26/2024,https://www.reuters.com/business/retail-consumer/alibabas-south-asian-e-commerce-giant-daraz-announces-layoffs-memo-2024-02-27/,,Unknown,Singapore,,,,,
Redesign Health,TRUE,New York City,Healthcare,77,2/23/2024,https://www.crainsnewyork.com/health-pulse/union-square-based-redesign-health-cuts-staff-slows-startup-creation,315,Series C,United States,,,,,
Carbon Health,TRUE,SF Bay Area,Healthcare,56,2/23/2024,https://www.sfchronicle.com/bayarea/article/bay-area-layoffs-carbon-health-18684600.php,522,Series D,United States,,,,,
Vice Media,TRUE,New York City,Media,,2/22/2024,https://www.nytimes.com/2024/02/22/business/vice-media-layoffs.html,1600,Unknown,United States,,,,,
Affirm,TRUE,Pittsburgh,Finance,60,2/21/2024,https://bnnbreaking.com/finance-nav/affirms-pittsburgh-layoffs-a-tale-of-corporate-strategy-and-employee-impact,1500,Post-IPO,United States,,,AFRM,NASDAQ,FALSE
Finder,FALSE,Sydney,Retail,60,2/21/2024,https://www.startupdaily.net/topic/business/finder-cuts-staffing-for-the-3rd-time-in-a-year-shedding-60-jobs/,30,Unknown,Australia,0.17,,,,
BuzzFeed,TRUE,New York City,Media,,2/21/2024,https://variety.com/2024/digital/news/buzzfeed-sells-complex-ntwrk-layoffs-1235918498/,696,Post-IPO,United States,0.16,,BZFD,NASDAQ,FALSE
